	SNP	Chromosome	Position	trait1	symbol
1316	ENSG00000184937	11	32409320	0.613815119503349	WT1
1317	ENSG00000107485	10	8095566	0.615952703895408	GATA3
1318	ENSG00000198346	19	53970999	0.616233836710151	ZNF813
1319	ENSG00000181444	7	149461270	0.619760288836645	ZNF467
1320	ENSG00000170166	2	177015949	0.621230906394855	HOXD4
1321	ENSG00000171634	17	65821639	0.622096542587869	BPTF
1322	ENSG00000177551	1	116378997	0.622534078786892	NHLH2
1323	ENSG00000151650	10	135050907	0.624861935213936	VENTX
1324	ENSG00000106006	7	27185014	0.624872228524191	HOXA6
1325	ENSG00000129194	17	7491495	0.626479623067284	SOX15
1326	ENSG00000105996	7	27139720	0.62761034967249	HOXA2
1327	ENSG00000197566	17	16524050	0.628069580249463	ZNF624
1328	ENSG00000128645	2	177053306	0.628564713530954	HOXD1
1329	ENSG00000139154	12	19556999	0.631521414897246	AEBP2
1330	ENSG00000147488	8	53023398	0.633740174619035	ST18
1331	ENSG00000124613	6	27342393	0.635622829365471	ZNF391
1332	ENSG00000175787	9	97021592	0.635946754162753	ZNF169
1333	ENSG00000136367	14	23990065	0.63743378204025	ZFHX2
1334	ENSG00000135625	2	73518057	0.63986475138024	EGR4
1335	ENSG00000166478	11	9481865	0.640043955915722	ZNF143
1336	ENSG00000146592	7	28338939	0.641621112816928	CREB5
1337	ENSG00000167157	9	132427919	0.643807585714877	PRRX2
1338	ENSG00000186777	4	264463	0.644254851681997	ZNF732
1339	ENSG00000036549	1	78030184	0.645154585965686	ZZZ3
1340	ENSG00000163909	1	40089824	0.646529783338205	HEYL
1341	ENSG00000162601	1	59120410	0.648401839623976	MYSM1
1342	ENSG00000105672	19	36132646	0.651154032600228	ETV2
1343	ENSG00000130254	19	5587009	0.651692660629702	SAFB2
1344	ENSG00000065029	6	35226758	0.653157819381199	ZNF76
1345	ENSG00000066136	1	41157319	0.65668046964409	NFYC
1346	ENSG00000167800	11	67398773	0.658448809885576	TBX10
1347	ENSG00000112365	6	109783796	0.659626015689359	ZBTB24
1348	ENSG00000136574	8	11534467	0.662634725944021	GATA4
1349	ENSG00000125945	1	23685940	0.663535569814681	ZNF436
1350	ENSG00000073282	3	189349204	0.665837577067061	TP63
1351	ENSG00000135100	12	121416345	0.667629384783553	HNF1A
1352	ENSG00000163666	3	57231943	0.668378218647287	HESX1
1353	ENSG00000184939	16	68563992	0.670352686928642	ZFP90
1354	ENSG00000185670	11	62518434	0.670660524999974	ZBTB3
1356	ENSG00000166211	12	101869198	0.675776114420988	SPIC
1357	ENSG00000173917	17	46618255	0.675903873536894	HOXB2
1358	ENSG00000070476	3	126156443	0.681152833422953	ZXDC
1359	ENSG00000180626	17	5082830	0.68452619500896	ZNF594
1360	ENSG00000127152	14	99635623	0.685763507027565	BCL11B
1361	ENSG00000178229	19	57831876	0.686332510133574	ZNF543
1362	ENSG00000173041	7	63980261	0.687747143906304	ZNF680
1363	ENSG00000163508	3	27757439	0.690453948564563	EOMES
1364	ENSG00000135899	2	231033633	0.691666821956708	SP110
1365	ENSG00000125347	5	131817300	0.695522786548404	IRF1
1366	ENSG00000174255	3	113953482	0.696770074182978	ZNF80
1367	ENSG00000123095	12	26272958	0.697977597666046	BHLHE41
1368	ENSG00000204644	6	29640168	0.700403165189898	ZFP57
1369	ENSG00000136944	9	129376721	0.702076906571465	LMX1B
1370	ENSG00000178386	19	44555519	0.70689746460178	ZNF223
1371	ENSG00000119608	14	75319735	0.708642412703907	PROX2
1372	ENSG00000198028	19	9577182	0.710019284518734	ZNF560
1373	ENSG00000165606	10	50572236	0.711780628042317	DRGX
1374	ENSG00000170325	11	129769600	0.714710925721223	PRDM10
1375	ENSG00000169136	19	50431958	0.721338478643959	ATF5
1376	ENSG00000213793	19	53418448	0.722965480061347	ZNF888
1377	ENSG00000172216	20	48807375	0.726636783987894	CEBPB
1378	ENSG00000062370	19	44830707	0.729643070139747	ZNF112
1379	ENSG00000066422	3	101367732	0.731532961274471	ZBTB11
1380	ENSG00000167562	19	53073525	0.731743088649365	ZNF701
1381	ENSG00000162419	1	28995243	0.732923572150728	GMEB1
1382	ENSG00000116132	1	170631868	0.733837058256519	PRRX1
1383	ENSG00000263002	19	44645709	0.73676745314977	ZNF234
1384	ENSG00000168286	16	67876212	0.737103648758887	THAP11
1385	ENSG00000242852	19	12571997	0.737718271991986	ZNF709
1386	ENSG00000118620	19	21203425	0.739185025449575	ZNF430
1387	ENSG00000159882	19	44507099	0.744580846176961	ZNF230
1388	ENSG00000198815	1	42642209	0.74628776173092	FOXJ3
1389	ENSG00000214029	12	133694739	0.747611485641596	ZNF891
1390	ENSG00000189298	6	28317690	0.750483704836724	ZKSCAN3
1391	ENSG00000204859	1	6640060	0.754806913285197	ZBTB48
1392	ENSG00000064195	17	48067368	0.758723229213083	DLX3
1393	ENSG00000111424	12	48235319	0.759005215192729	VDR
1394	ENSG00000156853	16	30613878	0.759738120311695	ZNF689
1395	ENSG00000125618	2	113973573	0.770437989153409	PAX8
1396	ENSG00000221994	23	47842755	0.772108139636024	ZNF630
1397	ENSG00000173480	19	58411663	0.774676846637958	ZNF417
1398	ENSG00000115816	2	37428754	0.776509009166421	CEBPZ
1399	ENSG00000075891	10	102495359	0.778452154292049	PAX2
1400	ENSG00000119866	2	60678301	0.77862233864309	BCL11A
1401	ENSG00000245848	19	33790839	0.779041397717221	CEBPA
1402	ENSG00000171469	19	9715355	0.779744944889487	ZNF561
1403	ENSG00000136997	8	128747679	0.780998252055955	MYC
1404	ENSG00000182759	8	144501351	0.782293984831771	MAFA
1405	ENSG00000119042	2	200134222	0.783643852738221	SATB2
1406	ENSG00000102554	13	73629113	0.784310765988561	KLF5
1407	ENSG00000063438	5	304290	0.787569005449261	AHRR
1408	ENSG00000062194	5	56469774	0.787775189176694	GPBP1
1409	ENSG00000188981	4	3246095	0.789000102935022	MSANTD1
1410	ENSG00000197385	3	32023262	0.791978395889221	ZNF860
1411	ENSG00000155592	16	25247321	0.793194402597069	ZKSCAN2
1412	ENSG00000105516	19	49133286	0.794970212061112	DBP
1413	ENSG00000059728	2	70124819	0.798325302032149	MXD1
1414	ENSG00000173404	20	20348764	0.800691143142971	INSM1
1415	ENSG00000152475	19	58878984	0.800985276923489	ZNF837
1416	ENSG00000135903	2	223064606	0.807305069456584	PAX3
1417	ENSG00000197020	19	21905567	0.807365839778045	ZNF100
1418	ENSG00000175879	2	176994421	0.810829089165862	HOXD8
1419	ENSG00000122592	7	27193334	0.811763112046258	HOXA7
1420	ENSG00000165066	8	41502696	0.811971800389976	NKX6-3
1421	ENSG00000117505	1	93811444	0.812002593392789	DR1
1422	ENSG00000170653	12	53901639	0.813984389136837	ATF7
1423	ENSG00000132010	19	12203657	0.818113755539964	ZNF20
1424	ENSG00000137273	6	1390068	0.818134553114356	FOXF2
1425	ENSG00000221818	8	25699245	0.820936651067061	EBF2
1426	ENSG00000124782	6	7107829	0.823380526868574	RREB1
1427	ENSG00000196092	9	36833271	0.824017263686801	PAX5
1429	ENSG00000109101	17	26833260	0.825270271308265	FOXN1
1430	ENSG00000196152	9	130186660	0.825360904046086	ZNF79
1431	ENSG00000188779	15	68112041	0.826601602722365	SKOR1
1432	ENSG00000007866	6	35441373	0.82859007444041	TEAD3
1433	ENSG00000178935	19	58315208	0.830343824872702	ZNF552
1434	ENSG00000043039	11	129245834	0.834142246460516	BARX2
1435	ENSG00000129514	14	38059188	0.835696450197036	FOXA1
1436	ENSG00000134046	18	51679078	0.837993170921282	MBD2
1437	ENSG00000080298	9	3218296	0.838027674072903	RFX3
1438	ENSG00000089225	12	114791735	0.838045360441428	TBX5
1439	ENSG00000257923	7	101458958	0.840381546483698	CUX1
1440	ENSG00000177125	9	129622943	0.840978811980293	ZBTB34
1441	ENSG00000249459	17	18561741	0.842779207609851	ZNF286B
1442	ENSG00000204304	6	32152511	0.842889628474844	PBX2
1443	ENSG00000131759	17	38465443	0.846511337429095	RARA
1444	ENSG00000126603	16	4364761	0.847094913308173	GLIS2
1445	ENSG00000175322	18	14057455	0.849009487486527	ZNF519
1446	ENSG00000125798	20	22561642	0.849496139344168	FOXA2
1447	ENSG00000108788	17	40719085	0.851545188512461	MLX
1448	ENSG00000125952	14	65472891	0.851985326274658	MAX
1449	ENSG00000160229	19	20959109	0.858360351438022	ZNF66
1450	ENSG00000188994	6	87865266	0.868908890055616	ZNF292
1451	ENSG00000243943	2	27805896	0.873550971430288	ZNF512
1452	ENSG00000166949	15	67356100	0.876340047443235	SMAD3
1453	ENSG00000152977	3	147111208	0.877637748745272	ZIC1
1454	ENSG00000136504	17	47865916	0.878463448673329	KAT7
1455	ENSG00000186017	19	36936020	0.884593662115231	ZNF566
1456	ENSG00000134107	3	5020800	0.884687632981037	BHLHE40
1457	ENSG00000170802	2	48541775	0.885655450723471	FOXN2
1458	ENSG00000156374	10	105062552	0.888656227029896	PCGF6
1459	ENSG00000181449	3	181429713	0.89098765578664	SOX2
1460	ENSG00000160224	21	45705720	0.896611221138404	AIRE
1461	ENSG00000138378	2	191894301	0.898735060613111	STAT4
1462	ENSG00000129654	17	74132413	0.900290138034253	FOXJ1
1463	ENSG00000197213	19	56700938	0.901827968059698	ZSCAN5B
1464	ENSG00000137709	11	120107348	0.908966050213082	POU2F3
1465	ENSG00000157429	16	71512185	0.918673634642655	ZNF19
1466	ENSG00000196233	10	98592016	0.919968575446306	LCOR
1467	ENSG00000028277	19	42590262	0.925276301325054	POU2F2
1468	ENSG00000180357	15	64791490	0.925720714430562	ZNF609
1469	ENSG00000196466	19	12500829	0.926443973483196	ZNF799
1470	ENSG00000181690	8	57073462	0.926843399556922	PLAG1
1471	ENSG00000125878	20	584440	0.927150286564568	TCF15
1472	ENSG00000196387	12	133656423	0.928741398205263	ZNF140
1473	ENSG00000102984	16	71893582	0.93079719952294	ZNF821
1474	ENSG00000087510	20	55204357	0.932017406770412	TFAP2C
1475	ENSG00000168795	9	37438110	0.933867458619995	ZBTB5
1476	ENSG00000016082	5	50678920	0.93716943646206	ISL1
1477	ENSG00000213020	19	53206065	0.93763260364886	ZNF611
1478	ENSG00000185960	23	585078	0.944125885354566	SHOX
1479	ENSG00000197782	19	40575058	0.945330840420556	ZNF780A
1480	ENSG00000123405	12	54685894	0.946470994431586	NFE2
1481	ENSG00000140993	16	3348831	0.949652822168561	TIGD7
1482	ENSG00000197951	19	57106631	0.95092059467299	ZNF71
1483	ENSG00000188033	19	12688774	0.955199460238768	ZNF490
1484	ENSG00000105419	19	47906380	0.961027050864426	MEIS3
1485	ENSG00000105750	19	21106027	0.963159329618817	ZNF85
1486	ENSG00000186051	9	108424737	0.966564121239732	TAL2
1487	ENSG00000170485	2	101436613	0.968229365309034	NPAS2
1488	ENSG00000214534	11	71525090	0.96931941844069	ZNF705E
1489	ENSG00000083307	8	102504659	0.972593639779674	GRHL2
1490	ENSG00000136630	1	221051698	0.973440034457997	HLX
1491	ENSG00000256771	19	19976694	0.975866142731733	ZNF253
1492	ENSG00000083812	19	58978422	0.978856965124938	ZNF324
1493	ENSG00000197933	19	11832079	0.979834461273288	ZNF823
1494	ENSG00000113658	5	135468533	0.980865846674956	SMAD5
1495	ENSG00000128652	2	177001339	0.985552408752542	HOXD3
1496	ENSG00000151657	10	7792924	0.98755612657163	KIN
1497	ENSG00000106546	7	17338245	0.990410489863833	AHR
1498	ENSG00000153896	19	35248980	0.996088795914304	ZNF599
1499	ENSG00000183850	19	23258011	0.99765513867382	ZNF730
1500	ENSG00000198839	7	111846642	0.997743003733416	ZNF277
